分组序	键位	字根	举例
1	G〈11〉	``	一 **ggll** `※※※`<br>二 **fgg** `※※`<br>十 **fgh** `※※`
2	 	``	王 **gggg** `※※※`<br>玉 **gyi** `※※`<br>主 **ygd** `※※`
3	 	``	五 **gghg** `※※※`<br>伍 **wgg** `※※`<br>吾 **gkf** `※※`
4	 	``	刁 **ngd** `※※`<br>叼 **kngg** `※※※`<br>羽 **nnyg** `※※※`
5	 	``	生 **tgd** `※※`<br>性 **ntgg** `※※※`<br>姓 **vtgg** `※※※`
6	 	``	麦 **gtu** `※※`<br>青 **gef** `※※`<br>责 **gmu** `※※`
7	 	``	浅 **igt** `※※`<br>线 **xgt** `※※`<br>栈 **sgt** `※※`
~~~	~~~	~~~	~~~
1	F〈12〉	``	二 **fgg** `※※`<br>亏 **fnv** `※※`<br>井 **fjk** `※※`
2	 	``	土 **ffff** `※※※`<br>丑 **nfd** `※※`<br>去 **fcu** `※※`
3	 	``	士 **fghg** `※※※`<br>壬 **tfd** `※※`<br>吉 **fkf** `※※`
4	 	``	干 **fggh** `※※※`<br>刊 **fjh** `※※`<br>汗 **ifh** `※※`
5	 	``	十 **fgh** `※※`<br>千 **tfk** `※※`<br>支 **fcu** `※※`
6	 	``	雨 **fghy** `※※※`<br>漏 **infy** `※※※`
7	 	``	寸 **fghy** `※※※`<br>付 **wfy** `※※`<br>讨 **yfy** `※※`
8	 	``	雪 **fvf** `※※`<br>雳 **fdlb** `※※※`<br>雷 **flf** `※※`
9	 	``	才 **fte** `※※`<br>团 **lfte** `※※※`<br>闭 **ufte** `※※※`
10	 	``	革 **afj** `※※`<br>勒 **afln** `※※※`<br>靴 **afwx** `※※※`
11	 	``	于 **gfk** `※※`<br>迂 **gfpk** `※※※`<br>芋 **agfj** `※※※`
12	 	``	 
~~~	~~~	~~~	~~~
1	D〈13〉	``	三 **dggg** `※※※`<br>丰 **dhk** `※※`<br>邦 **dtbh** `※※※`
2	 	``	大 **dddd** `※※※`<br>天 **gdi** `※※`<br>太 **dyi** `※※`
3	 	``	套 **ddu** `※※`<br>肆 **dvfh** `※※※`<br>鬓 **depw** `※※※`
4	 	``	古 **dghg** `※※※`<br>舌 **tdd** `※※`<br>克 **dqb** `※※`
5	 	``	石 **dgtg** `※※※`<br>拓 **rdg** `※※`<br>矾 **dmyy** `※※※`
6	 	``	厂 **dgt** `※※`<br>厅 **dsk** `※※`<br>历 **dlv** `※※`
7	 	``	万 **dnv** `※※`<br>厉 **ddnv** `※※※`<br>迈 **dnpv** `※※※`
8	 	``	犬 **dgty** `※※※`<br>厌 **ddi** `※※`<br>伏 **wdy** `※※`
9	 	``	長 **deu** `※※`<br>倀 **wdey** `※※※`<br>帳 **mhde** `※※※`
10	 	``	丈 **dyi** `※※`<br>友 **dcu** `※※`<br>左 **daf** `※※`
11	 	``	羊 **udj** `※※`<br>详 **yudh** `※※※`<br>洋 **iudh** `※※※`
12	 	``	差 **udaf** `※※※`<br>养 **udyj** `※※※`<br>羞 **udnf** `※※※`
13	 	``	尤 **dnv** `※※`<br>龙 **dxv** `※※`<br>优 **wdnn** `※※※`
14	 	``	百 **djf** `※※`<br>而 **dmjj** `※※※`<br>页 **dmu** `※※`
~~~	~~~	~~~	~~~
1	S〈14〉	``	木 **ssss** `※※※`<br>末 **gsi** `※※`<br>本 **sgd** `※※`
2	 	``	丁 **sgh** `※※`<br>厅 **dsk** `※※`<br>订 **ysh** `※※`
3	 	``	西 **sghg** `※※※`<br>酉 **sgd** `※※`<br>洒 **isg** `※※`
4	 	``	要 **svf** `※※`<br>栗 **ssu** `※※`<br>贾 **smu** `※※`
5	 	``	杀 **qsu** `※※`<br>杂 **vsu** `※※`<br>条 **tsu** `※※`
6	 	``	可 **skd** `※※`<br>何 **wskg** `※※※`<br>阿 **bskg** `※※※`
~~~	~~~	~~~	~~~
1	A〈15〉	``	工 **aaaa** `※※※`<br>巧 **agnn** `※※※`<br>功 **aln** `※※`
2	 	``	戈 **agnt** `※※※`<br>戎 **ade** `※※`<br>划 **ajh** `※※`
3	 	``	甘 **afd** `※※`<br>其 **adwu** `※※※`<br>某 **afsu** `※※※`
4	 	``	开 **gak** `※※`<br>升 **tak** `※※`<br>卉 **faj** `※※`
5	 	``	世 **anv** `※※`<br>泄 **iann** `※※※`<br>屉 **nanv** `※※※`
6	 	``	区 **aqi** `※※`<br>匹 **aqv** `※※`<br>巨 **and** `※※`
7	 	``	七 **agn** `※※`<br>托 **rtan** `※※※`<br>宅 **ptab** `※※※`
8	 	``	氏 **qav** `※※`<br>民 **nav** `※※`<br>尧 **atgq** `※※※`
9	 	``	东 **aii** `※※`<br>冻 **uaiy** `※※※`<br>陈 **baiy** `※※※`
10	 	``	切 **avn** `※※`<br>长 **tayi** `※※※`<br>彻 **tavn** `※※※`
11	 	``	牙 **ahte** `※※※`<br>邪 **ahtb** `※※※`<br>讶 **yaht** `※※※`
12	 	``	共 **awu** `※※`<br>曲 **mad** `※※`<br>昔 **ajf** `※※`
13	 	``	艺 **anb** `※※`<br>艾 **aqu** `※※`<br>节 **abj** `※※`
14	 	``	代 **way** `※※`<br>式 **aad** `※※`<br>武 **gahd** `※※※`
15	 	``	越 **fhat** `※※※`<br>钺 **qant** `※※※`<br>鉞 **qant** `※※※`
16	 	``	扁 **ynma** `※※※`<br>匾 **ayna** `※※※`<br>偏 **wyna** `※※※`
