分组序	键位	字根	举例
1	T	``	厂 **dgt** `※※` / 八 **wty** `※※` / 入 **tyi** `※※`
2	T	``	禾 **tttt** `※※※` / 利 **tjh** `※※` / 秃 **tmb** `※※`
3	T	``	竿 **tfj** `※※` / 笔 **ttfn** `※※※` / 笑 **ttdu** `※※※`
4	T	``	行 **tfhh** `※※※` / 彻 **tavn** `※※※` / 役 **tmcy** `※※※`
5	T	``	收 **nhty** `※※※` / 攻 **aty** `※※` / 改 **nty** `※※`
6	T	``	处 **thi** `※※` / 冬 **tuu** `※※` / 务 **tlb** `※※`
7	T	``	乞 **tnb** `※※` / 午 **tfj** `※※` / 矢 **tdu** `※※`
8	T	``	余 **wtu** `※※` / 叙 **wtcy** `※※※` / 除 **bwty** `※※※`
9	T	``	竹 **ttgh** `※※※`
10	T	``	小 **ihty** `※※※` / 升 **tak** `※※` / 长 **tayi** `※※※`
11	T	``	千 **tfk** `※※` / 手 **rtgh** `※※※` / 毛 **tfnv** `※※※`
1	R	``	勿 **qre** `※※` / 匆 **qryi** `※※※` / 场 **fnrt** `※※※`
2	R	``	白 **rrrr** `※※※` / 伯 **wrg** `※※` / 皂 **rab** `※※`
3	R	``	手 **rtgh** `※※※` / 挚 **rvyr** `※※※` / 拿 **wgkr** `※※※`
4	R	``	扎 **rnn** `※※` / 打 **rsh** `※※` / 扑 **rhy** `※※`
5	R	``	斤 **rtth** `※※※` / 斥 **ryi** `※※` / 匠 **ark** `※※`
6	R	``	爪 **rhyi** `※※※` / 反 **rci** `※※` / 瓜 **rcyi** `※※※`
7	R	``	拜 **rdfh** `※※※` / 看 **rhf** `※※` / 掰 **rwvr** `※※※`
8	R	``	牛 **rhk** `※※` / 气 **rnb** `※※` / 失 **rwi** `※※`
9	R	``	牡 **trfg** `※※※` / 牧 **trty** `※※※` / 物 **trqr** `※※※`
10	R	``	丘 **rgd** `※※` / 乒 **rgtr** `※※※` / 乓 **rgyu** `※※※`
1	E	``	形 **gaet** `※※※` / 杉 **set** `※※` / 彤 **myet** `※※※`
2	E	``	妥 **evf** `※※` / 采 **esu** `※※` / 觅 **emqb** `※※※`
3	E	``	月 **eeee** `※※※` / 甩 **env** `※※` / 肌 **emn** `※※`
4	E	``	用 **etnh** `※※※` / 佣 **weh** `※※` / 角 **qej** `※※`
5	E	``	且 **egd** `※※` / 助 **egln** `※※※` / 县 **egcu** `※※※`
6	E	``	有 **def** `※※` / 甫 **gehy** `※※※` / 肖 **ief** `※※`
7	E	``	诵 **yceh** `※※※` / 勇 **celb** `※※※` / 捅 **rceh** `※※※`
8	E	``	象 **qjeu** `※※※` / 遂 **uepi** `※※※` / 像 **wqje** `※※※`
9	E	``	衣 **yeu** `※※` / 农 **pei** `※※` / 表 **geu** `※※`
10	E	``	派 **irey** `※※※` / 旅 **ytey** `※※※` / 哌 **krey** `※※※`
11	E	``	辰 **dfei** `※※※` / 丧 **fueu** `※※※` / 畏 **lgeu** `※※※`
12	E	``	逐 **epi** `※※` / 家 **peu** `※※` / 啄 **keyy** `※※※`
13	E	``	及 **eyi** `※※` / 圾 **feyy** `※※※` / 吸 **keyy** `※※※`
14	E	``	豺 **eeft** `※※※` / 豹 **eeqy** `※※※` / 貌 **eerq** `※※※`
15	E	``	豺 **eeft** `※※※` / 豹 **eeqy** `※※※` / 貌 **eerq** `※※※`
16	E	``	良 **yvei** `※※※` / 限 **bvey** `※※※` / 艰 **cvey** `※※※`
17	E	``	舟 **tei** `※※` / 舰 **temq** `※※※` / 舱 **tewb** `※※※`
18	E	``	乃 **etn** `※※` / 仍 **wen** `※※` / 扔 **ren** `※※`
1	W	``	人 **wwww** `※※※` / 个 **whj** `※※` / 夫 **fwi** `※※`
2	W	``	亿 **wnn** `※※` / 仁 **wfg** `※※` / 什 **wfh** `※※`
3	W	``	八 **wty** `※※` / 分 **wvb** `※※` / 公 **wcu** `※※`
4	W	``	癸 **wgdu** `※※※` / 葵 **awgd** `※※※` / 登 **wgku** `※※※`
5	W	``	祭 **wfiu** `※※※` / 蔡 **awfi** `※※※` / 察 **pwfi** `※※※`
