分组序	键位	字根	举例
1	H〈21〉	``	十 **fgh** `※※`<br>卜 **hhy** `※※`<br>干 **fggh** `※※※`
2	 	``	丁 **sgh** `※※`<br>了 **bnh** `※※`<br>寸 **fghy** `※※※`
3	 	``	目 **hhhh** `※※※`<br>自 **thd** `※※`<br>盯 **hsh** `※※`
4	 	``	直 **fhf** `※※`<br>具 **hwu** `※※`<br>真 **fhwu** `※※※`
5	 	``	上 **hhgg** `※※※`<br>卡 **hhu** `※※`<br>让 **yhg** `※※`
6	 	``	止 **hhhg** `※※※`<br>正 **ghd** `※※`<br>此 **hxn** `※※`
7	 	``	卜 **hhy** `※※`<br>下 **ghi** `※※`<br>仆 **why** `※※`
8	 	``	丐 **ghnv** `※※※`<br>占 **hkf** `※※`<br>卢 **hne** `※※`
9	 	``	走 **fhu** `※※`<br>足 **khu** `※※`<br>定 **pghu** `※※※`
10	 	``	虎 **hamv** `※※※`<br>虏 **halv** `※※※`<br>虐 **haag** `※※※`
11	 	``	皮 **hci** `※※`<br>坡 **fhcy** `※※※`<br>披 **rhcy** `※※※`
~~~	~~~	~~~	~~~
1	J〈22〉	``	而 **dmjj** `※※※`<br>坚 **jcff** `※※※`<br>非 **djdd** `※※※`
2	 	``	帅 **jmhh** `※※※`<br>归 **jvg** `※※`<br>师 **jgmh** `※※※`
3	 	``	井 **fjk** `※※`<br>介 **wjj** `※※`<br>弗 **xjk** `※※`
4	 	``	刊 **fjh** `※※`<br>刑 **gajh** `※※※`<br>列 **gqjh** `※※※`
5	 	``	日 **jjjj** `※※※`<br>旧 **hjg** `※※`<br>旦 **jgf** `※※`
6	 	``	申 **jhk** `※※`<br>电 **jnv** `※※`<br>旨 **xjf** `※※`
7	 	``	冒 **jhf** `※※`<br>帽 **mhjh** `※※※`<br>勖 **jhln** `※※※`
8	 	``	临 **jtyj** `※※※`<br>象 **qjeu** `※※※`<br>像 **wqje** `※※※`
9	 	``	曰 **jhng** `※※※`<br>汩 **ijg** `※※`
10	 	``	早 **jhnh** `※※※`<br>卓 **hjj** `※※`<br>草 **ajj** `※※`
11	 	``	虫 **jhny** `※※※`<br>茧 **aju** `※※`<br>虹 **jag** `※※`
12	 	``	肃 **vijk** `※※※`<br>萧 **avij** `※※※`<br>啸 **kvij** `※※※`
13	 	``	 
14	 	``	 
~~~	~~~	~~~	~~~
1	K〈23〉	``	带 **gkph** `※※※`<br>滞 **igkh** `※※※`<br>䗖 **jgkh** `※※※`
2	 	``	川 **kthh** `※※※`<br>训 **ykh** `※※`<br>驯 **ckh** `※※`
3	 	``	口 **kkkk** `※※※`<br>中 **khk** `※※`<br>可 **skd** `※※`
~~~	~~~	~~~	~~~
1	L〈24〉	``	田 **llll** `※※※`<br>男 **llb** `※※`<br>佃 **wlg** `※※`
2	 	``	甲 **lhnh** `※※※`<br>匣 **alk** `※※`<br>押 **rlh** `※※`
3	 	``	一 **ggll** `※※※`<br>乙 **nnll** `※※※`<br>囚 **lwi** `※※`
4	 	``	四 **lhng** `※※※`<br>泗 **ilg** `※※`<br>驷 **clg** `※※`
5	 	``	罗 **lqu** `※※`<br>罚 **lyjj** `※※※`<br>罢 **lfcu** `※※※`
6	 	``	皿 **lhng** `※※※`<br>血 **tld** `※※`<br>孟 **blf** `※※`
7	 	``	车 **lgnh** `※※※`<br>轧 **lnn** `※※`<br>轨 **lvn** `※※`
8	 	``	車 **lghh** `※※※`<br>軋 **lnn** `※※`<br>厙 **dlk** `※※`
9	 	``	舞 **rlgh** `※※※`<br>無 **rlgo** `※※※`<br>嘸 **krlo** `※※※`
10	 	``	柬 **glii** `※※※`<br>黑 **lfou** `※※※`<br>熏 **tglo** `※※※`
11	 	``	曾 **uljf** `※※※`<br>僧 **wulj** `※※※`<br>增 **fulj** `※※※`
12	 	``	僂 **wlvg** `※※※`
13	 	``	力 **ltn** `※※`<br>历 **dlv** `※※`<br>为 **ylyi** `※※※`
~~~	~~~	~~~	~~~
1	M〈25〉	``	山 **mmmm** `※※※`<br>击 **fmk** `※※`<br>仙 **wmh** `※※`
2	 	``	由 **mhng** `※※※`<br>邮 **mbh** `※※`<br>抽 **rmg** `※※`
3	 	``	贝 **mhny** `※※※`<br>页 **dmu** `※※`<br>贞 **hmu** `※※`
4	 	``	貝 **mhny** `※※※`<br>則 **mjh** `※※`<br>貞 **hmu** `※※`
5	 	``	巾 **mhk** `※※`<br>冈 **mqi** `※※`<br>内 **mwi** `※※`
6	 	``	丹 **myd** `※※`<br>周 **mfkd** `※※※`<br>调 **ymfk** `※※※`
7	 	``	身 **tmdt** `※※※`<br>射 **tmdf** `※※※`<br>躬 **tmdx** `※※※`
8	 	``	骨 **mef** `※※`<br>猾 **qtme** `※※※`<br>滑 **imeg** `※※※`
9	 	``	见 **mqb** `※※`<br>央 **mdi** `※※`<br>曲 **mad** `※※`
10	 	``	册 **mmgd** `※※※`<br>删 **mmgj** `※※※`<br>彤 **myet** `※※※`
11	 	``	凹 **mmgd** `※※※`<br>兕 **mmgq** `※※※`<br>垇 **fmmg** `※※※`
12	 	``	凸 **hgmg** `※※※`
13	 	``	凹 **mmgd** `※※※`
14	 	``	几 **mtn** `※※`<br>凡 **myi** `※※`<br>亢 **ymb** `※※`
15	 	``	风 **mqi** `※※`<br>凤 **mci** `※※`<br>讽 **ymqy** `※※※`
16	 	``	兕 **mmgq** `※※※`<br>雋 **wymm** `※※※`<br>垇 **fmmg** `※※※`
